var_x,type_x,var_y,type_y,method,effect_size,p_value,n
price,numeric,calculated_host_listings_count_private_rooms,numeric,spearman_rho,-0.41576082691448846,2.599376864590614e-244,5874
availability_90,numeric,estimated_occupancy_l365d,numeric,pearson_r,0.2992625362397369,8.667035577071083e-216,10480
availability_90,numeric,estimated_occupancy_l365d,numeric,spearman_rho,0.36967096784619075,0.0,10480
host_listings_count,numeric,estimated_occupancy_l365d,numeric,pearson_r,0.023305193281467185,0.017056196791032197,10477
host_listings_count,numeric,estimated_occupancy_l365d,numeric,spearman_rho,0.1927604893820278,3.00960813523242e-88,10477
host_listings_count,numeric,availability_eoy,numeric,pearson_r,0.11113086480152029,3.7685461961036036e-30,10477
host_listings_count,numeric,availability_eoy,numeric,spearman_rho,0.27606350338286795,1.3729978551682034e-182,10477
number_of_reviews_ltm,numeric,estimated_occupancy_l365d,numeric,pearson_r,0.6580612269668729,0.0,10480
number_of_reviews_ltm,numeric,estimated_occupancy_l365d,numeric,spearman_rho,0.9925167536345554,0.0,10480
latitude,numeric,number_of_reviews_ly,numeric,pearson_r,0.011007409371749585,0.2598486978028215,10480
latitude,numeric,number_of_reviews_ly,numeric,spearman_rho,0.04610707006983297,2.3351924197254564e-06,10480
id,numeric,number_of_reviews_l30d,numeric,pearson_r,-0.04483716773354749,4.393837057606735e-06,10480
id,numeric,number_of_reviews_l30d,numeric,spearman_rho,-0.048582978193647076,6.495344479631777e-07,10480
host_total_listings_count,numeric,review_scores_communication,numeric,pearson_r,-0.16786826865294122,3.0185854558084244e-60,9380
host_total_listings_count,numeric,review_scores_communication,numeric,spearman_rho,-0.25728534592795615,1.0826101483738946e-141,9380
accommodates,numeric,estimated_occupancy_l365d,numeric,pearson_r,-0.0495991347375002,3.772815514946787e-07,10480
accommodates,numeric,estimated_occupancy_l365d,numeric,spearman_rho,-0.015653242431009178,0.10907630404335983,10480
maximum_nights_avg_ntm,numeric,review_scores_cleanliness,numeric,pearson_r,0.007214400228285658,0.4847345220747214,9382
maximum_nights_avg_ntm,numeric,review_scores_cleanliness,numeric,spearman_rho,-0.10991743020296149,1.29537323029163e-26,9382
bathrooms,numeric,availability_365,numeric,pearson_r,-0.020847617213928415,0.10838190311543151,5932
bathrooms,numeric,availability_365,numeric,spearman_rho,-0.03549281078789317,0.00625846769790004,5932
minimum_maximum_nights,numeric,number_of_reviews_ltm,numeric,pearson_r,-0.0047030410749901025,0.6302944526576355,10476
minimum_maximum_nights,numeric,number_of_reviews_ltm,numeric,spearman_rho,0.1025081756091952,7.105812424601773e-26,10476
accommodates,numeric,review_scores_rating,numeric,pearson_r,-0.025350609802557447,0.014061958025910254,9383
accommodates,numeric,review_scores_rating,numeric,spearman_rho,-0.016798610687527495,0.1037136675958623,9383
maximum_nights,numeric,review_scores_checkin,numeric,pearson_r,-0.07353928314897168,9.88081545829988e-13,9383
maximum_nights,numeric,review_scores_checkin,numeric,spearman_rho,-0.14280092750622647,6.160000737821806e-44,9383
host_listings_count,numeric,estimated_revenue_l365d,numeric,pearson_r,0.04409380701606881,0.000725418399505531,5872
host_listings_count,numeric,estimated_revenue_l365d,numeric,spearman_rho,0.18779889442560113,9.439879429853224e-48,5872
number_of_reviews_ltm,numeric,calculated_host_listings_count,numeric,pearson_r,0.08737150365318509,3.233375178169034e-19,10480
number_of_reviews_ltm,numeric,calculated_host_listings_count,numeric,spearman_rho,0.19815033526058298,2.867707505899844e-93,10480
minimum_nights_avg_ntm,numeric,number_of_reviews_ly,numeric,pearson_r,-0.032223083218067855,0.0009696062273765735,10480
minimum_nights_avg_ntm,numeric,number_of_reviews_ly,numeric,spearman_rho,-0.1350337576903057,7.739708449937485e-44,10480
minimum_nights_avg_ntm,numeric,review_scores_location,numeric,pearson_r,0.0016607836675329082,0.8722099993550331,9383
minimum_nights_avg_ntm,numeric,review_scores_location,numeric,spearman_rho,0.08779808274770982,1.5960522184536166e-17,9383
number_of_reviews,numeric,number_of_reviews_ly,numeric,pearson_r,0.8615632297559515,0.0,10480
number_of_reviews,numeric,number_of_reviews_ly,numeric,spearman_rho,0.6955617395995319,0.0,10480
price,numeric,availability_90,numeric,pearson_r,0.06388002250671394,9.590642558160172e-07,5874
price,numeric,availability_90,numeric,spearman_rho,0.093513852494131,6.904861148279764e-13,5874
maximum_maximum_nights,numeric,minimum_nights_avg_ntm,numeric,pearson_r,-0.0023415982744448695,0.8106095269207212,10476
maximum_maximum_nights,numeric,minimum_nights_avg_ntm,numeric,spearman_rho,-0.11135018798224426,2.921990279873441e-30,10476
review_scores_location,numeric,calculated_host_listings_count_shared_rooms,numeric,pearson_r,0.002555416219087822,0.8045212267374204,9383
review_scores_location,numeric,calculated_host_listings_count_shared_rooms,numeric,spearman_rho,-0.018936157370513334,0.06662613040870978,9383
minimum_minimum_nights,numeric,review_scores_accuracy,numeric,pearson_r,-0.006337412987795302,0.5394316823936891,9379
minimum_minimum_nights,numeric,review_scores_accuracy,numeric,spearman_rho,0.1927176641081033,3.6760528874001695e-79,9379
availability_30,numeric,availability_90,numeric,pearson_r,0.8866477093054099,0.0,10480
availability_30,numeric,availability_90,numeric,spearman_rho,0.9003135616644151,0.0,10480
review_scores_location,numeric,calculated_host_listings_count,numeric,pearson_r,-0.08971274980203964,3.1338244446859787e-18,9383
review_scores_location,numeric,calculated_host_listings_count,numeric,spearman_rho,-0.11447671809751611,9.587831669122212e-29,9383
review_scores_cleanliness,numeric,calculated_host_listings_count_shared_rooms,numeric,pearson_r,-0.027793476885255745,0.007097009169735328,9382
review_scores_cleanliness,numeric,calculated_host_listings_count_shared_rooms,numeric,spearman_rho,-0.03773029506679107,0.00025678302391910396,9382
calculated_host_listings_count_entire_homes,numeric,reviews_per_month,numeric,pearson_r,-0.028814756821440288,0.005248467987901466,9383
calculated_host_listings_count_entire_homes,numeric,reviews_per_month,numeric,spearman_rho,-0.27087126855571275,1.794687002631945e-157,9383
maximum_nights_avg_ntm,numeric,availability_60,numeric,pearson_r,0.033232742563377216,0.0006674010191345151,10480
maximum_nights_avg_ntm,numeric,availability_60,numeric,spearman_rho,0.1288104499376278,5.142324264275424e-40,10480
minimum_nights,numeric,calculated_host_listings_count,numeric,pearson_r,0.03877607385465636,7.169217642428015e-05,10480
minimum_nights,numeric,calculated_host_listings_count,numeric,spearman_rho,-0.28853499787529674,4.546020291081431e-200,10480
review_scores_accuracy,numeric,reviews_per_month,numeric,pearson_r,-0.06169373316023889,2.218816605191467e-09,9383
review_scores_accuracy,numeric,reviews_per_month,numeric,spearman_rho,-0.236971326441363,6.472720901192198e-120,9383
bedrooms,numeric,price,numeric,pearson_r,0.05303364798985338,4.8345424919885775e-05,5865
bedrooms,numeric,price,numeric,spearman_rho,0.5101371533897315,0.0,5865
maximum_maximum_nights,numeric,estimated_occupancy_l365d,numeric,pearson_r,-0.008692556979125852,0.37367311993001234,10476
maximum_maximum_nights,numeric,estimated_occupancy_l365d,numeric,spearman_rho,0.13544729345722215,4.408967009440904e-44,10476
number_of_reviews,numeric,calculated_host_listings_count_shared_rooms,numeric,pearson_r,-0.0036850546497166348,0.7060233292043613,10480
number_of_reviews,numeric,calculated_host_listings_count_shared_rooms,numeric,spearman_rho,-0.021223556526498932,0.02980435501682972,10480
host_listings_count,numeric,reviews_per_month,numeric,pearson_r,0.024747915543593103,0.016534744051008465,9380
host_listings_count,numeric,reviews_per_month,numeric,spearman_rho,0.2554867648878766,1.116227509678196e-139,9380
minimum_nights,numeric,number_of_reviews_l30d,numeric,pearson_r,-0.024687810998231634,0.011490363165967873,10480
minimum_nights,numeric,number_of_reviews_l30d,numeric,spearman_rho,-0.1977658790390085,6.589061664486536e-93,10480
host_listings_count,numeric,maximum_nights,numeric,pearson_r,0.06809259158685033,3.0147446371651098e-12,10477
host_listings_count,numeric,maximum_nights,numeric,spearman_rho,0.23219207470160597,2.9100632256313803e-128,10477
host_total_listings_count,numeric,availability_90,numeric,pearson_r,0.10472309487350484,6.0924384855975776e-27,10477
host_total_listings_count,numeric,availability_90,numeric,spearman_rho,0.21120913055560345,5.811673511089156e-106,10477
review_scores_cleanliness,numeric,review_scores_communication,numeric,pearson_r,0.48677390871208187,0.0,9382
review_scores_cleanliness,numeric,review_scores_communication,numeric,spearman_rho,0.46437090703072376,0.0,9382
number_of_reviews,numeric,number_of_reviews_l30d,numeric,pearson_r,0.6219915357180871,0.0,10480
number_of_reviews,numeric,number_of_reviews_l30d,numeric,spearman_rho,0.4385409687230335,0.0,10480
minimum_maximum_nights,numeric,estimated_revenue_l365d,numeric,pearson_r,0.14773161780683064,5.340882385082108e-30,5870
minimum_maximum_nights,numeric,estimated_revenue_l365d,numeric,spearman_rho,0.22907324694974845,9.419454877684128e-71,5870
availability_60,numeric,review_scores_accuracy,numeric,pearson_r,-0.13788071977094124,4.724854808732029e-41,9383
availability_60,numeric,review_scores_accuracy,numeric,spearman_rho,-0.16627852507308152,3.7878199256891755e-59,9383
calculated_host_listings_count_entire_homes,numeric,calculated_host_listings_count_shared_rooms,numeric,pearson_r,0.019586834045271534,0.04495299788529729,10480
calculated_host_listings_count_entire_homes,numeric,calculated_host_listings_count_shared_rooms,numeric,spearman_rho,-0.08158516666044065,6.012677067134733e-17,10480
id,numeric,review_scores_location,numeric,pearson_r,0.06889767774805772,2.3750365739215844e-11,9383
id,numeric,review_scores_location,numeric,spearman_rho,0.23410981218987492,5.2918573411512025e-117,9383
id,numeric,review_scores_checkin,numeric,pearson_r,-0.01530954991293703,0.13811095991449948,9383
id,numeric,review_scores_checkin,numeric,spearman_rho,0.23628722056599274,3.2431915568821226e-119,9383
calculated_host_listings_count_private_rooms,numeric,reviews_per_month,numeric,pearson_r,0.22812861352653993,4.837405160391628e-111,9383
calculated_host_listings_count_private_rooms,numeric,reviews_per_month,numeric,spearman_rho,0.4042315149932218,0.0,9383
minimum_maximum_nights,numeric,calculated_host_listings_count_shared_rooms,numeric,pearson_r,-0.0009826734184868598,0.9198942423661174,10476
minimum_maximum_nights,numeric,calculated_host_listings_count_shared_rooms,numeric,spearman_rho,-0.06813628423756628,2.9269191284570613e-12,10476
price,numeric,number_of_reviews,numeric,pearson_r,-0.029085887299745032,0.025800702347846368,5874
price,numeric,number_of_reviews,numeric,spearman_rho,-0.21298849549405155,3.099571549261276e-61,5874
beds,numeric,maximum_minimum_nights,numeric,pearson_r,-0.009054657189006589,0.4868245196788331,5900
beds,numeric,maximum_minimum_nights,numeric,spearman_rho,0.08202472125398998,2.7950906732805757e-10,5900
beds,numeric,minimum_nights_avg_ntm,numeric,pearson_r,-0.00893272217838883,0.49256410055680594,5904
beds,numeric,minimum_nights_avg_ntm,numeric,spearman_rho,0.08932132955214285,6.176431612559913e-12,5904
minimum_minimum_nights,numeric,calculated_host_listings_count_shared_rooms,numeric,pearson_r,-0.008119227363348986,0.4060095640955141,10476
minimum_minimum_nights,numeric,calculated_host_listings_count_shared_rooms,numeric,spearman_rho,-0.07127139064336817,2.8098035779142955e-13,10476
maximum_nights,numeric,review_scores_cleanliness,numeric,pearson_r,-0.06483658873986532,3.259670392536434e-10,9382
maximum_nights,numeric,review_scores_cleanliness,numeric,spearman_rho,-0.10708089030196362,2.4672619053945936e-25,9382
host_listings_count,numeric,review_scores_location,numeric,pearson_r,-0.05240107104834612,3.8167570711162206e-07,9380
host_listings_count,numeric,review_scores_location,numeric,spearman_rho,-0.10332229105519034,1.0989143325161537e-23,9380
host_listings_count,numeric,calculated_host_listings_count_shared_rooms,numeric,pearson_r,0.021544844128039777,0.027435635998060294,10477
host_listings_count,numeric,calculated_host_listings_count_shared_rooms,numeric,spearman_rho,0.18556589488750624,8.243053278089883e-82,10477
estimated_revenue_l365d,numeric,review_scores_value,numeric,pearson_r,-0.02301521078357663,0.0964441597669513,5218
estimated_revenue_l365d,numeric,review_scores_value,numeric,spearman_rho,-0.06569017062410205,2.042529865618971e-06,5218
minimum_nights_avg_ntm,numeric,availability_60,numeric,pearson_r,-0.001600748769842857,0.8698474934138347,10480
minimum_nights_avg_ntm,numeric,availability_60,numeric,spearman_rho,-0.18816481406101493,3.956094494429767e-84,10480
price,numeric,calculated_host_listings_count_entire_homes,numeric,pearson_r,0.0002449887284432725,0.9850226424493067,5874
price,numeric,calculated_host_listings_count_entire_homes,numeric,spearman_rho,0.3688563182580763,9.405977196461015e-189,5874
availability_30,numeric,review_scores_communication,numeric,pearson_r,-0.1360856407786846,5.023227922356946e-40,9383
availability_30,numeric,review_scores_communication,numeric,spearman_rho,-0.1815855611117682,2.2618477821766237e-70,9383
minimum_nights,numeric,availability_365,numeric,pearson_r,0.016752573566160427,0.08636208318436908,10480
minimum_nights,numeric,availability_365,numeric,spearman_rho,-0.1835263896027668,4.689279437917233e-80,10480
maximum_minimum_nights,numeric,maximum_maximum_nights,numeric,pearson_r,-0.0006105202289808403,0.9501800160472489,10476
maximum_minimum_nights,numeric,maximum_maximum_nights,numeric,spearman_rho,-0.06127692117638478,3.451986259243998e-10,10476
availability_60,numeric,calculated_host_listings_count_entire_homes,numeric,pearson_r,0.05673553100190731,6.168980658451957e-09,10480
availability_60,numeric,calculated_host_listings_count_entire_homes,numeric,spearman_rho,-0.15559225781982913,8.681223295923282e-58,10480
price,numeric,calculated_host_listings_count,numeric,pearson_r,0.03611292059659124,0.005638741010797737,5874
price,numeric,calculated_host_listings_count,numeric,spearman_rho,-0.1437875466366535,1.6510606441473642e-28,5874
beds,numeric,number_of_reviews_ly,numeric,pearson_r,-0.02544600017336957,0.05057016441989366,5904
beds,numeric,number_of_reviews_ly,numeric,spearman_rho,0.0015146548446454986,0.9073690568997259,5904
longitude,numeric,bathrooms,numeric,pearson_r,0.0686664402658772,1.1980851595908683e-07,5932
longitude,numeric,bathrooms,numeric,spearman_rho,0.05357545853287801,3.652179684800227e-05,5932
availability_90,numeric,number_of_reviews_l30d,numeric,pearson_r,0.19248258798647094,5.097772599626948e-88,10480
availability_90,numeric,number_of_reviews_l30d,numeric,spearman_rho,0.2928325292860883,2.766226161607318e-206,10480
beds,numeric,review_scores_communication,numeric,pearson_r,-0.021822947395444832,0.11411153154252122,5243
beds,numeric,review_scores_communication,numeric,spearman_rho,-0.0284735412709878,0.039240633320662736,5243
bedrooms,numeric,maximum_maximum_nights,numeric,pearson_r,-0.008772985399784664,0.3763549121839665,10170
bedrooms,numeric,maximum_maximum_nights,numeric,spearman_rho,-0.09552760292628164,4.70369896039233e-22,10170
availability_90,numeric,review_scores_checkin,numeric,pearson_r,-0.09238632887512893,3.044971035103716e-19,9383
availability_90,numeric,review_scores_checkin,numeric,spearman_rho,-0.12148811232909423,3.4551870999653875e-32,9383
review_scores_accuracy,numeric,review_scores_location,numeric,pearson_r,0.3647862331435555,2.950703346501298e-293,9383
review_scores_accuracy,numeric,review_scores_location,numeric,spearman_rho,0.40498108401481814,0.0,9383
id,numeric,bathrooms,numeric,pearson_r,-0.08385333605364684,9.906365843981817e-11,5932
id,numeric,bathrooms,numeric,spearman_rho,-0.15452779086469146,5.034993887460698e-33,5932
host_listings_count,numeric,minimum_nights_avg_ntm,numeric,pearson_r,0.0033843912055234854,0.7290597639751744,10477
host_listings_count,numeric,minimum_nights_avg_ntm,numeric,spearman_rho,-0.19460166880469737,6.150485568649406e-90,10477
review_scores_accuracy,numeric,calculated_host_listings_count,numeric,pearson_r,-0.19356809392874957,6.845283447448665e-80,9383
review_scores_accuracy,numeric,calculated_host_listings_count,numeric,spearman_rho,-0.26407030077598737,1.7669212860206931e-149,9383
maximum_maximum_nights,numeric,number_of_reviews,numeric,pearson_r,-0.004491544556524479,0.6457548835791814,10476
maximum_maximum_nights,numeric,number_of_reviews,numeric,spearman_rho,0.22810474321039204,1.0046572620741876e-123,10476
bedrooms,numeric,minimum_maximum_nights,numeric,pearson_r,-0.008772721378175394,0.37636927643248336,10170
bedrooms,numeric,minimum_maximum_nights,numeric,spearman_rho,-0.0734285424561702,1.2244900332255708e-13,10170
maximum_nights_avg_ntm,numeric,availability_365,numeric,pearson_r,0.01734588041348794,0.07579029348140814,10480
maximum_nights_avg_ntm,numeric,availability_365,numeric,spearman_rho,0.11916974058392733,1.8582147360018107e-34,10480
host_total_listings_count,numeric,availability_365,numeric,pearson_r,0.10277596305869717,5.270032738371891e-26,10477
host_total_listings_count,numeric,availability_365,numeric,spearman_rho,0.18547155137423865,9.971689723992708e-82,10477
availability_30,numeric,review_scores_location,numeric,pearson_r,-0.037018593532836555,0.00033502995337301636,9383
availability_30,numeric,review_scores_location,numeric,spearman_rho,-0.020666244940178248,0.04530611628487553,9383
host_listings_count,numeric,calculated_host_listings_count_private_rooms,numeric,pearson_r,0.09305922621546846,1.3628598944511811e-21,10477
host_listings_count,numeric,calculated_host_listings_count_private_rooms,numeric,spearman_rho,0.5439983828140074,0.0,10477
latitude,numeric,bedrooms,numeric,pearson_r,0.06168900663919735,4.739201177798068e-10,10174
latitude,numeric,bedrooms,numeric,spearman_rho,-0.006165610940130401,0.5340526449185786,10174
maximum_nights,numeric,availability_365,numeric,pearson_r,0.09695902926477007,2.5694398686170852e-23,10480
maximum_nights,numeric,availability_365,numeric,spearman_rho,0.1526162138862432,1.2151961419263797e-55,10480
review_scores_checkin,numeric,review_scores_communication,numeric,pearson_r,0.6455805128148886,0.0,9383
review_scores_checkin,numeric,review_scores_communication,numeric,spearman_rho,0.5939868221434658,0.0,9383
minimum_nights,numeric,maximum_minimum_nights,numeric,pearson_r,0.9138618311204848,0.0,10476
minimum_nights,numeric,maximum_minimum_nights,numeric,spearman_rho,0.7895869405961827,0.0,10476
estimated_occupancy_l365d,numeric,review_scores_rating,numeric,pearson_r,-0.05752369741250271,2.4617022167298217e-08,9383
estimated_occupancy_l365d,numeric,review_scores_rating,numeric,spearman_rho,-0.17265912094689628,1.062800951352025e-63,9383
minimum_nights_avg_ntm,numeric,review_scores_cleanliness,numeric,pearson_r,-0.014125357108141692,0.1712875769383132,9382
minimum_nights_avg_ntm,numeric,review_scores_cleanliness,numeric,spearman_rho,0.08265310889823096,1.0704821582221627e-15,9382
maximum_minimum_nights,numeric,calculated_host_listings_count,numeric,pearson_r,0.07660829077478026,4.106269443771799e-15,10476
maximum_minimum_nights,numeric,calculated_host_listings_count,numeric,spearman_rho,-0.08260331726051379,2.4941221755902696e-17,10476
host_total_listings_count,numeric,beds,numeric,pearson_r,-0.007988770500606014,0.5394711600053571,5902
host_total_listings_count,numeric,beds,numeric,spearman_rho,0.05625475739293434,1.5305085353714273e-05,5902
id,numeric,maximum_nights,numeric,pearson_r,-0.20393058242811962,8.596308209076867e-99,10480
id,numeric,maximum_nights,numeric,spearman_rho,-0.03655375097099595,0.00018192289625214536,10480
source,categorical,id,numeric,anova_eta2,0.023681882835148573,1.4858153031954817e-56,10480
source,categorical,host_listings_count,numeric,anova_eta2,5.4593619134056144e-06,0.8110030197532694,10477
source,categorical,host_total_listings_count,numeric,anova_eta2,0.00016300966169990243,0.19129914942102638,10477
source,categorical,latitude,numeric,anova_eta2,0.0005104614111762995,0.020725539523931087,10480
source,categorical,longitude,numeric,anova_eta2,3.839315339263118e-05,0.5259182345131445,10480
source,categorical,accommodates,numeric,anova_eta2,0.000293228291713231,0.07961469031173726,10480
source,categorical,bedrooms,numeric,anova_eta2,0.00696797459074045,3.35662522055517e-17,10174
source,categorical,minimum_nights,numeric,anova_eta2,0.0010109866101848351,0.00113211869498972,10480
source,categorical,maximum_nights,numeric,anova_eta2,0.0006561721447776226,0.008729732837160682,10480
source,categorical,minimum_minimum_nights,numeric,anova_eta2,0.0014890520485791251,7.795678559791472e-05,10476
source,categorical,maximum_minimum_nights,numeric,anova_eta2,0.00012373104751022766,0.2549493243503532,10476
source,categorical,minimum_maximum_nights,numeric,anova_eta2,0.0002488876385079352,0.10638956342214158,10476
source,categorical,maximum_maximum_nights,numeric,anova_eta2,0.00024887683747936784,0.10639715625747968,10476
source,categorical,minimum_nights_avg_ntm,numeric,anova_eta2,0.0006959584901716898,0.0069168182530093495,10480
source,categorical,maximum_nights_avg_ntm,numeric,anova_eta2,0.00024895430712215915,0.10627593803160355,10480
source,categorical,availability_30,numeric,anova_eta2,0.1763789554450322,0.0,10480
