listing_id;available;count
1303104;f;301
1303104;t;64
1303534;f;364
1303534;t;1
1308382;f;102
1308382;t;263
1311373;f;116
1311373;t;249
1315392;f;55
1315392;t;310
1316990;f;340
1316990;t;25
1320353;f;67
1320353;t;298
1320438;f;68
1320438;t;297
1321735;f;103
1321735;t;262
1323521;f;365
1328500;f;155
1328500;t;210
1329048;f;365
1331157;f;32
1331157;t;333
1331893;f;330
1331893;t;35
1338064;f;365
1338633;f;186
1338633;t;179
1339705;f;52
1339705;t;313
1344662;f;365
1346133;f;365
1350096;f;39
1350096;t;326
1350246;f;36
1350246;t;329
1354077;f;309
1354077;t;56
1355528;f;130
1355528;t;235
1355777;f;350
1355777;t;15
1358042;f;23
1358042;t;342
1359386;f;365
1362020;f;365
1364013;f;188
1364013;t;177
1364064;f;365
1364081;f;365
1364379;f;242
1364379;t;123
1366058;f;365
1366080;f;52
1366080;t;313
1366513;f;365
1366589;f;365
1367385;f;282
1367385;t;83
1369677;f;365
1370038;f;302
1370038;t;63
1371048;f;365
1375612;f;153
1375612;t;212
1377662;f;365
1378074;f;332
1378074;t;33
1381400;f;365
1383369;f;345
1383369;t;20
1385486;t;365
1394668;f;336
1394668;t;29
1397317;f;268
1397317;t;97
1398007;f;365
1398395;f;365
1400691;f;365
1400779;f;365
1402408;f;360
1402408;t;5
1402541;f;73
1402541;t;292
1408035;f;287
1408035;t;78
1409695;f;365
1416213;f;358
1416213;t;7
1417704;f;365
1427610;f;365
1429701;f;138
1429701;t;227
1432378;f;365
1432499;f;115
1432499;t;250
1435701;f;365
1436284;f;115
1436284;t;250
1440217;f;1
1440217;t;364
1447217;f;112
1447217;t;253
1448698;f;365
1448920;f;365
1457569;f;365
1458297;f;365
1460070;t;365
1460845;f;116
1460845;t;249
1468473;f;205
1468473;t;160
1479060;f;4
1479060;t;361
1482038;f;365
1482851;f;189
1482851;t;176
1482998;f;365
1484957;f;365
1496082;f;365
1499280;f;147
1499280;t;218
1501539;f;365
1505436;f;209
1505436;t;156
1511360;f;154
1511360;t;211
1514368;f;269
1514368;t;96
1514753;f;365
1517398;f;289
1517398;t;76
1521776;f;365
1523635;f;52
1523635;t;313
1524993;f;41
1524993;t;324
1525316;f;362
1525316;t;3
1528318;f;309
1528318;t;56
1533103;f;115
1533103;t;250
1534317;f;6
1534317;t;359
1536821;f;297
1536821;t;68
1548947;f;365
1556165;f;365
1558627;f;365
1559969;f;365
1561264;t;365
1562942;f;365
1566348;f;325
1566348;t;40
1567732;f;291
1567732;t;74
1567839;f;134
1567839;t;231
1567891;f;91
1567891;t;274
1568669;f;19
1568669;t;346
1570315;f;44
1570315;t;321
1575988;f;365
1578243;f;116
1578243;t;249
1579945;f;39
1579945;t;326
1580186;f;365
1580233;f;173
1580233;t;192
1585699;f;365
1586071;f;365
1587473;f;345
1587473;t;20
1601408;f;131
1601408;t;234
1601997;f;276
1601997;t;89
1603630;f;36
1603630;t;329
1603794;f;365
1605387;f;365
1606616;f;365
1610986;f;110
1610986;t;255
1613972;f;116
1613972;t;249
1620475;f;365
1630438;f;29
1630438;t;336
1630603;f;307
1630603;t;58
1631878;f;45
1631878;t;320
1633234;f;365
1639079;f;365
1639387;f;365
1645011;f;365
1645571;f;115
1645571;t;250
1649932;f;358
1649932;t;7
1650475;t;365
1653373;f;145
1653373;t;220
1657879;f;365
1658094;f;344
1658094;t;21
1658365;f;185
1658365;t;180
1662676;f;365
1662724;f;209
1662724;t;156
1672419;f;365
1677381;f;180
1677381;t;185
1681041;f;300
1681041;t;65
1690339;f;347
1690339;t;18
1690441;f;365
1694534;f;115
1694534;t;250
1704895;f;365
1704905;f;365
1707937;f;365
1708187;f;365
1708244;f;15
1708244;t;350
1713147;f;322
1713147;t;43
1713474;f;95
1713474;t;270
1714683;t;365
1719227;f;365
1723463;f;55
1723463;t;310
1723551;f;357
1723551;t;8
1727103;f;365
1731246;f;331
1731246;t;34
1733772;f;237
1733772;t;128
1734564;f;339
1734564;t;26
1734582;f;239
1734582;t;126
1734769;f;305
1734769;t;60
1734815;f;3
1734815;t;362
1743234;f;365
1745212;f;365
1746619;f;365
1762277;f;365
1766570;f;57
1766570;t;308
1767048;f;343
1767048;t;22
1767656;f;365
1771760;f;54
1771760;t;311
1776383;f;365
1777092;f;365
1777432;f;365
1783438;f;290
